Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
17,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Requisição HTTP com credenciais.,High,Mitigated,DESKTOP-6DQ0D1T\Michele,Portal FuturisTech may be able to impersonate the context of Usuário in order to gain additional privilege.,"Sessões são temporárias e os tokens têm escopos definidos, evitando apropriação de identidade. ",25/07/2025 18:40:41
16,Cross Site Scripting,Tampering,Diagram 1,Requisição HTTP com credenciais.,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,The web server 'Portal FuturisTech' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,"Entradas de usuários são tratadas com sanitização no backend e frontend, e CSP limita scripts externos.",25/07/2025 18:40:05
15,Spoofing the Usuário External Entity,Spoofing,Diagram 1,Requisição HTTP com credenciais.,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,Usuário may be spoofed by an attacker and this may lead to unauthorized access to Portal FuturisTech. Consider using a standard authentication mechanism to identify the external entity.,"Os logs são protegidos contra alteração ou exclusão, com verificação de integridade e armazenamento seguro",25/07/2025 18:38:40
3,Cross Site Scripting,Tampering,Diagram 1,Chamada autenticada via JWT.,Medium,Not Started,DESKTOP-6DQ0D1T\Michele,The web server 'API Gateway' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,"A aplicação valida e sanitiza todas as entradas fornecidas pelos usuários, utilizando codificação de caracteres para evitar a execução de scripts maliciosos.",25/07/2025 18:04:42
4,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Chamada autenticada via JWT.,High,Mitigated,DESKTOP-6DQ0D1T\Michele,API Gateway may be able to impersonate the context of Portal FuturisTech in order to gain additional privilege.,O sistema utiliza RBAC (controle de acesso baseado em função) e ABAC (baseado em atributos) com verificação de escopos nos tokens JWT para evitar acessos indevidos.,25/07/2025 18:10:59
5,Portal FuturisTech Process Memory Tampered,Tampering,Diagram 1,Generic Data Flow,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,"If Portal FuturisTech is given access to memory, such as shared memory or pointers, or is given the ability to control what Servidor de Autenticação executes (for example, passing back a function pointer.), then Portal FuturisTech can tamper with Servidor de Autenticação. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",O portal aplica validações e autenticação forte para impedir modificações não autorizadas nas interfaces e nos dados.,25/07/2025 18:41:19
6,Cross Site Scripting,Tampering,Diagram 1,Generic Data Flow,High,Mitigated,DESKTOP-6DQ0D1T\Michele,The web server 'Servidor de Autenticação' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.," Filtros XSS estão ativos, com escape de caracteres perigosos e uso de Content Security Policy (CSP) para impedir execução de scripts externos.",25/07/2025 18:42:44
7,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Generic Data Flow,High,Mitigated,DESKTOP-6DQ0D1T\Michele,Servidor de Autenticação may be able to impersonate the context of Portal FuturisTech in order to gain additional privilege.,MFA está habilitado e a autenticação federada é feita com validação de escopos e identidade no servidor Auth.,25/07/2025 18:35:43
8,API Gateway Process Memory Tampered,Tampering,Diagram 1,Encaminhamento de requisição.,High,Mitigated,DESKTOP-6DQ0D1T\Michele,"If API Gateway is given access to memory, such as shared memory or pointers, or is given the ability to control what API Principal executes (for example, passing back a function pointer.), then API Gateway can tamper with API Principal. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."," API Gateway roda em ambiente isolado (container seguro) sem acesso direto à memória do sistema ou dados críticos.",25/07/2025 18:36:12
9,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,Encaminhamento de requisição.,High,Mitigated,DESKTOP-6DQ0D1T\Michele,API Principal may be able to impersonate the context of API Gateway in order to gain additional privilege.,A API valida os escopos e papéis presentes nos tokens JWT antes de permitir qualquer operação sensível.,25/07/2025 18:36:33
10,Spoofing of Destination Data Store Banco de dados,Spoofing,Diagram 1,Query SQLcom parâmetros.,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,Banco de dados may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Banco de dados. Consider using a standard authentication mechanism to identify the destination data store.,"Todas as conexões com o banco de dados são protegidas com TLS, exigem autenticação forte e são restritas à rede interna.",25/07/2025 18:37:03
11,Potential SQL Injection Vulnerability for Banco de dados,Tampering,Diagram 1,Query SQLcom parâmetros.,High,Not Started,DESKTOP-6DQ0D1T\Michele,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,Mitigada com uso de ORM seguro.,25/07/2025 18:00:49
12,Potential Excessive Resource Consumption for API Principal or Banco de dados,Denial Of Service,Diagram 1,Query SQLcom parâmetros.,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,"Does API Principal or Banco de dados take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.","O API Gateway aplica limitação de requisições (rate limiting) por IP e token, protegendo contra sobrecarga",25/07/2025 18:37:26
13,Spoofing of Destination Data Store Logs de Auditoria,Spoofing,Diagram 1,Registro de ação no log.,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,Logs de Auditoria may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Logs de Auditoria. Consider using a standard authentication mechanism to identify the destination data store.,"Os logs são armazenados em sistema seguro, com controle de acesso e verificação de integridade (hash ou assinatura digital).",25/07/2025 18:37:55
14,Potential Excessive Resource Consumption for API Principal or Logs de Auditoria,Denial Of Service,Diagram 1,Registro de ação no log.,Medium,Mitigated,DESKTOP-6DQ0D1T\Michele,"Does API Principal or Logs de Auditoria take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.","s logs são armazenados em sistema seguro, com controle de acesso e verificação de integridade (hash ou assinatura digital).",25/07/2025 18:38:15
